PRT_ID,AREA,INT_SQFT,DATE_SALE,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,INF_PRICE,1+0.04,"POWER(Z,Y)",SALES_PRICE
P09411,Anna Nagar,1986,19-12-2006,2,1,5,Ab Normal,No,22-12-1995,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,40676975.91,1.04,1.872981246,21717770
P05346,Velachery,1855,13-03-2010,3,2,5,Family,No,18-03-1988,Others,NoSewer ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,15418404.56,1.04,1.601032219,9630290
P00219,Chrompet,1220,11/9/2014,2,1,4,Partial,No,12/9/2009,Commercial,NoSewer ,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,16963071.24,1.04,1.36856905,12394750
P09105,Chrompet,1167,5/4/2007,1,1,3,Partial,No,12/4/1979,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,15287831.22,1.04,1.800943506,8488790
P09679,Velachery,1847,13-03-2006,3,2,5,Family,No,15-03-1996,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,31466553.17,1.04,1.872981246,16800250
P03377,Chrompet,771,6/4/2011,1,1,2,Adj Land,No,14-04-1977,Others,NoSewer ,Paved,RM,2.9,3.7,4,3.55,257578,33236,12791277.57,1.04,1.539454056,8308970
P09623,Velachery,1635,22-06-2006,2,1,4,Ab Normal,No,26-06-1991,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,15140524.85,1.04,1.872981246,8083650
P07121,Chrompet,1054,16-02-2009,1,1,3,Partial,No,26-02-1972,Others,NoSewer ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,15734495.07,1.04,1.665073507,9449730
P05512,Chrompet,1196,11/2/2010,1,1,3,Family,No,16-02-1991,Others,NoSewer ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,14048049.07,1.04,1.601032219,8774370
P04085,Velachery,1865,11/11/2010,3,2,5,Family,No,24-11-1956,Commercial,NoSewer ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,24815487.06,1.04,1.601032219,15499680
P06328,Velachery,1868,12/9/2009,3,2,5,Family,No,14-09-2000,Commercial,NoSewer ,Gravel,RH,3.8,3.8,3.1,,597135,188569,26165098.3,1.04,1.665073507,15714080
P06851,KK Nagar,2010,6/5/2009,3,2,5,Partial,No,9/5/1999,Others,NoSewer ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,18191594.1,1.04,1.665073507,10925400
P04665,Chrompet,1074,23-07-2010,1,1,3,Ab Normal,No,27-07-1994,Others,NoSewer ,Gravel,RL,3,3.4,4.9,3.73,288821,86646,15413745.56,1.04,1.601032219,9627380
P00902,T Nagar,1972,13-05-2013,2,1,5,Adj Land,No,14-05-2008,Others,NoSewer ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,19816428.77,1.04,1.423311812,13922760
P00293,T Nagar,1685,19-07-2014,1,1,4,Family,No,27-07-1980,House,NoSewer ,Gravel,RM,2.8,4.4,4,3.74,352830,176415,17245448.09,1.04,1.36856905,12601080
P00755,T Nagar,1806,18-08-2013,2,1,5,Family,No,27-08-1978,House,NoSewer ,Paved,RH,4.1,5,3,3.83,430852,113382,16137793.99,1.04,1.423311812,11338200
P06980,Anna Nagar,1981,1/4/2009,2,1,5,Adj Land,No,3/4/2000,House,ELO,No Access,RL,2,3.1,3.2,2.755,373300,218831,21433542.17,1.04,1.665073507,12872430
